,Tokens
10,"['nice', 'flight', 'good', 'crew', 'good', 'seat', 'food', 'would', 'expect', 'aircraft', 'new', 'style', 'business', 'class', 'seatssuite', 'actual', 'plane', 'new', 'since', 'word', 'parts', 'seat', 'broken', 'missing', 'however', 'seat', 'still', 'sat', 'well', 'worked', 'seat', 'also', 'long', 'enough', 'really', 'lay', 'get', 'sleep', 'video', 'system', 'worked', 'great', 'plenty', 'content', 'headphones', 'however', 'cheap', 'didnt', 'feel', 'work', 'particular', 'good', 'layout', 'lot', 'business', 'class', 'seats', 'lot', 'sat', 'forward', 'cabin', 'enter', 'aircraft', 'turn', 'left', 'cabin', 'quieter', 'part', 'aircraft', 'crew', 'nice', 'entire', 'time', 'needs', 'wants', 'might', 'one', 'draw', 'back', 'seats', 'traveling', 'couple', 'middle', 'divider', 'didnt', 'open', 'enough', 'really', 'feel', 'like', 'mate', 'traveling', 'together', 'lhr', 'crowded', 'expansive', 'good', 'lounge', 'visit', 'completely', 'time', 'flights']"
11,"['months', 'passed', 'still', 'wasting', 'time', 'ba', 'team', 'sharing', 'documents', 'flight', 'delhi', 'london', 'got', 'delayed', 'december', 'missed', 'connecting', 'flight', 'london', 'heathrow', 'vancouver', 'ba', 'put', 'us', 'flight', 'hours', 'reaching', 'vancouver', 'told', 'baggage', 'lost', 'horrible', 'experience', 'customer', 'relations', 'person', 'even', 'look', 'details', 'already', 'shared', 'december', 'january', 'april', 'july']"
12,"['june', 'flight', 'cancelled', 'within', 'three', 'hours', 'departure', 'given', 'rebooking', 'next', 'day', 'lost', 'suitcase', 'arrived', 'three', 'days', 'later', 'today', 'th', 'august', 'happened', 'offer', 'rebooking', 'two', 'days', 'trying', 'post', 'claim', 'website', 'doesnt', 'work', 'never', 'ba']"
13,"['ground', 'cabin', 'crew', 'always', 'provide', 'good', 'customer', 'service', 'comes', 'catering', 'club', 'class', 'reduced', 'economy', 'flight', 'ba', 'ravioli', 'pasta', 'dried', 'along', 'edges', 'slice', 'camembert', 'dried', 'bother', 'serving', 'bread', 'roll', 'white', 'olive', 'bread', 'dry', 'wonder', 'whether', 'anyone', 'ba', 'monitors', 'club', 'class', 'become', 'economy', 'get', 'crying', 'babies', 'noisy', 'children', 'club', 'class', 'it', '’', 's', 'glorified', 'soulless', 'bus', 'trip', 'without', 'britishness']"
14,"['family', 'flew', 'washington', 'london', 'british', 'airways', 'a', 'able', 'secure', 'seats', 'upper', 'deck', 'pretty', 'hefty', 'fee', 'flight', 'unfortunately', 'delayed', 'hrs', 'causing', 'us', 'miss', 'connection', 'gatwick', 'turin', 'making', 'lounges', 'open', 'time', 'got', 'airport', 'onboard', 'sat', 'window', 'seat', 'nice', 'luggage', 'bin', 'convenient', 'stuff', 'flight', 'entertainment', 'system', 'didn', '’', 't', 'work', 'well', 'touchscreen', 'disabled', 'controller', 'quite', 'glitchy', 'hard', 'use', 'could', 'use', 'updating', 'food', 'dinner', 'decent', 'pasta', 'tomato', 'sauce', 'tasted', 'good', 'airline', 'standards', 'seat', 'pretty', 'comfortable', 'flight', 'smooth', 'missed', 'connection', 'we', '’', 're', 'stuck', 'behind', 'security', 'hrs', 'waiting', 'escorts', 'rebooked', 'us', 'flight', 'heathrow', 'milan', 'next', 'day', 'gave', 'us', 'free', 'bus', 'tickets', 'heathrow', 'gave', 'us', 'free', 'hotel', 'room', 'gave', 'us', 'dinner', 'breakfast', 'vouchers', 'great', 'customer', 'service']"
15,"['easy', 'check', 't', 'galleries', 'south', 'north', 'lounges', 'packed', 'able', 'get', 'seat', 'didn', '’', 't', 'stay', 'long', 'b', 'gates', 'lounge', 'much', 'quieter', 'flight', 'boarded', 'smoothly', 'time', 'a', 'upper', 'deck', 'old', 'club', 'world', 'seating', 'beginning', 'age', 'little', 'however', 'like', 'large', 'toilets', 'aircraft', 'type', 'cabin', 'crew', 'fantastic', 'one', 'family', 'tech', 'issues', 'seats', 'entertainment', 'systems', 'crew', 'worked', 'hard', 'though', 'sadly', 'without', 'success', 'food', 'drink', 'options', 'good', 'entertainment', 'good', 'overall', 'enjoyable', 'flight']"
16,"['verified', 'flight', 'delayed', 'hour', 'happens', 'biggie', 'us', 'change', 'gate', 'airport', 'never', 'happened', 'guess', 'ok', 'gate', 'agent', 'asked', 'us', 'check', 'bags', 'telling', 'would', 'prefer', 'anyway', 'second', 'gate', 'agent', 'reassigned', 'seats', 'exit', 'row', 'regular', 'huge', 'squeeze', 'travel', 'bud']"
17,"['verified', 'staff', 'rude', 'trained', 'properly', 'exceptions', 'made', 'children', 'elderly', 'people', 'price', 'ticket', 'expensive', 'given', 'distance', 'service', 'extremely', 'extremely', 'poor']"
18,"['good', 'domestic', 'flight', 'operated', 'ba', 'cityflyer', 'ground', 'service', 'checkin', 'edinburgh', 'airport', 'particularly', 'friendly', 'helpful', 'flight', 'departed', 'time', 'arrived', 'earlier', 'scheduled', 'complimentary', 'drink', 'snack', 'albeit', 'tiny', 'served', 'generally', 'seems', 'quality', 'cityflyer', 'subsidiary', 'superior', 'mainline', 'british', 'airways', 'flights']"
19,"['verified', 'failed', 'basic', 'travel', 'fundamentals', 'flight', 'delayed', 'staff', 'demanded', 'check', 'carry', 'luggage', 'even', 'though', 'met', 'carry', 'allowance', 'fact', 'tight', 'bus', 'connection', 'totally', 'ignored', 'staff', 'quite', 'unpleasant']"
20,"['lost', 'baggage', 'simple', 'situation', 'three', 'weeks', 'dont', 'care', 'communication', 'whatsoever', 'connection', 'checkpoint', 'heathrow', 'hrs', 'connecting', 'flight', 'last', 'leg', 'trip', 'agent', 'insists', 'checking', 'hand', 'luggage', 'since', 'plane', 'full', 'lose', 'claim', 'arrival', 'airport', 'immediately', 'three', 'weeks', 'communication', 'whatsoever', 'online', 'status', 'still', '“', 'searching', 'bag', '”', 'updates', 'conclusion', 'ba', 'males', 'effort', 'find', 'missing', 'bag', 'dont', 'care']"
21,"['late', 'boarding', 'led', 'one', 'hour', 'flight', 'leaving', 'two', 'hours', 'late', 'single', 'ba', 'staff', 'member', 'turned', 'board', 'full', 'flight', 'shortly', 'flight', 'due', 'depart', 'previous', 'announcement', 'delay', 'board', 'captain', 'blamed', 'frankfurt', 'ground', 'staff', 'delaying', 'takeoff', 'clearly', 'late', 'boarding', 'resulted', 'missed', 'departure', 'slot']"
22,"['usual', 'flight', 'delayed', 'ba', 'try', 'blame', 'someone', 'inability', 'incapacity', 'delivering', 'sell', 'dont', 'hire', 'enough', 'personnel', 'fulfil', 'staff', 'demand']"
23,"['fantastic', 'ba', 'flight', 'today', 'cabin', 'crew', 'seat', 'zone', 'd', 'best', 'experienced', 'although', 'old', 'style', 'rearfront', 'seating', 'comfortable', 'felt', 'open', 'spacious', 'ba', 'done', 'great', 'things', 'menu', 'nice', 'eat', 'breakfast', 'food', 'prearrival', 'meal', 'hkg', 'pm', 'local', 'time', 'left', 'london', 'night', 'dinner', 'offering', 'equally', 'ample', 'delicious', 'inflight', 'entertainment', 'great', 'collection', 'tv', 'current', 'films', 'inflight', 'map', 'first', 'rate', 'previously', 'huge', 'ba', 'fan', 'hour', 'flight', 'could', 'recommend', 'without', 'reserve', 'flew', 'new', 'ba', 'suite', 'j', 'class', 'recent', 'delhi', 'london', 'flight', 'enjoyed', 'product', 'although', 'felt', 'slightly', 'cramped', 'think', 'ba', 'stepped', 'really', 'comfortable', 'bedding', 'food', 'friendly', 'crew', 'engaged', 'throughout', 'flight', 'best', 'way', 'couldnt', 'recommend', 'ba', 'flight', 'today']"
24,"['couldn', '’', 't', 'book', 'online', 'arrived', 'check', 'find', 'bumped', 'due', 'overselling', 'ba', 'staff', 'available', 'helpful', 'gatwick', 'staff', 'got', 'us', 'bus', 'lhr', 'flight', 'toulouse', 'knock', 'effect', 'car', 'booking', 'sharing', 'rest', 'family', 'able', 'yo', 'board', 'original', 'flight', 'airlines', 'legally', 'stopped', 'selling', 'seats', 'twice']"
25,"['london', 'heathrow', 'mumbai', 'boeing', 'business', 'class', 'lounge', 'near', 'terminal', 'gate', 'b', 'heathrow', 'outstanding', 'service', 'offerings', 'provides', 'us', 'right', 'frame', 'relax', 'boarding', 'departure', 'delayed', 'almost', 'hours', 'flight', 'featured', 'older', 'club', 'world', 'seating', 'best', 'class', 'comfortable', 'enough', 'hear', 'new', 'club', 'suites', 'configuration', 'far', 'superior', 'british', 'airways', 'onboard', 'service', 'outstanding', 'every', 'respect', 'comfortable', 'flight', 'one', 'minor', 'irritant', 'reason', 'aircraft', 'fitted', 'wifi', 'got', 'mumbai', 'civilized', 'time', 'arrive']"
26,"['keflavík', 'iceland', 'london', 'heathrow', 'a', 'business', 'class', 'journey', 'got', 'unpleasant', 'note', 'business', 'class', 'line', 'keflavík', 'long', 'looked', 'like', 'economy', 'class', 'checkin', 'took', 'mins', 'get', 'lounge', 'access', 'offered', 'boarding', 'process', 'well', 'handled', 'british', 'airways', 'business', 'class', 'seats', 'club', 'europe', 'product', 'terrible', 'exactly', 'economy', 'middle', 'seat', 'left', 'vacant', 'dont', 'even', 'get', 'extra', 'pitch', 'made', 'overall', 'product', 'tolerable', 'good', 'onboard', 'service', 'inflight', 'wifi', 'also', 'fact', 'flight', 'leaves', 'convenient', 'midmorning', 'time']"
27,"['terrible', 'experience', 'british', 'airways', 'booked', 'flight', 'ba', 'travel', 'gibraltar', 'london', 'heathrow', 'may', 'flight', 'scheduled', 'leave', 'pm', 'afternoon', 'originally', 'planned', 'leaving', 'luggage', 'heathrow', 'upon', 'arrival', 'travelling', 'visit', 'overnight', 'cousins', 'place', 'en', 'route', 'gib', 'airport', 'hours', 'prior', 'departure', 'checked', 'flight', 'details', 'found', 'flight', 'cancelled', 'connecting', 'flight', 'booked', 'westjet', 'london', 'heathrow', 'vancouver', 'following', 'day', 'make', 'flight', 'imperative', 'got', 'london', 'checked', 'ba', 'website', 'couldnt', 'find', 'flights', 'would', 'work', 'unfortunately', 'made', 'mistake', 'requesting', 'refund', 'managed', 'find', 'flight', 'malaga', 'got', 'london', 'pm', 'booked', 'called', 'british', 'airways', 'wanted', 'discuss', 'compensation', 'thats', 'advised', 'requested', 'refund', 'used', 'phrase', 'abandoned', 'travel', 'prepared', 'anything', 'apparently', 'called', 'first', 'would', 'made', 'arrangements', 'course', 'dont', 'explain', 'website', 'ask', 'want', 'refund', 'proceed', 'even', 'plead', 'case', 'agent', 'malaga', 'airport', 'followed', 'customer', 'relations', 'several', 'times', 'via', 'email', 'flat', 'refused', 'budge', 'used', 'travel', 'voucher', 'cover', 'cost', 'flight', 'used', 'avios', 'cover', 'cost', 'checked', 'baggage', 'words', 'pocket', 'costs', 'trip', 'incident', 'happened', 'ended', 'spending', 'euros', 'airfare', 'checked', 'baggage', 'charges', 'get', 'london', 'malaga', 'ie', 'different', 'airport', 'one', 'originally', 'booked', 'luggage', 'storage', 'facility', 'heathrow', 'closed', 'time', 'eventually', 'arrived', 'ended', 'booking', 'night', 'hotel', 'since', 'couldnt', 'travel', 'train', 'cousins', 'place', 'longer', 'bags', 'tow', 'didnt', 'want', 'put', 'drive', 'airport', 'pick', 'cost', 'another', '£', 'room', 'meal', 'costs', 'ba', 'ended', 'compensate', 'give', 'free', 'avios', 'mere', 'pittance', 'compared', 'pocket', 'expenses', 'despite', 'trying', 'explain', 'requested', 'refund', 'instead', 'calling', 'first', 'wouldnt', 'budge', 'easy', 'say', 'done', 'since', 'work', 'know', 'rules', 'werent', 'ones', 'scrambling', 'find', 'alternative', 'travel', 'arrangements', 'within', 'hours', 'pointed', 'website', 'simply', 'instruct', 'customers', 'call', 'situation', 'happens', 'way', 'would', 'never', 'encounter', 'problem', 'feeling', 'put', 'refund', 'option', 'hope', 'customers', 'make', 'mistake', 'wash', 'hands', 'situation', 'ultimately', 'save', 'money', 'ive', 'executive', 'club', 'member', 'years', 'simply', 'didnt', 'care', 'said', 'nothing', 'could', 'im', 'sure', 'one', 'ba', 'executives', 'friends', 'family', 'members', 'gone', 'staff', 'would', 'given', 'instruction', 'make', 'things', 'right', 'used', 'fan', 'ba', 'really', 'gone', 'downhill', 'opinion', 'used', 'remaining', 'avios', 'travel', 'credit', 'cancel', 'executive', 'club', 'membership', 'never', 'fly']"
28,"['airline', 'lives', 'past', 'glory', 'heading', 'future', 'crisis', 'british', 'airways', 'joking', 'family', 'business', 'class', 'heading', 'norwegian', 'arctic', 'cruise', 'lost', 'bags', 'never', 'see', 'flights', 'ever', 'disaster', 'airline']"
29,"['checkin', 'desk', 'rude', 'dismissive', 'flight', 'late', 'seems', 'new', 'norm', 'one', 'world', 'emerald', 'club', 'world', 'checkin', 'staff', 'uncommunicative', 'know', 'baggage', 'allowance', 'entitled', 'raised', 'politely', 'became', 'argumentative', 'accusatory']"
