,Tokens
171,"['organised', 'boarding', 'process', 'really', 'friendly', 'crew', 'quick', 'drink', 'snack', 'great', 'experience', 'crew', 'credit', 'ba', 'best', 'crew', 'europe']"
172,"['outward', 'journey', 'ba', 'london', 'buenos', 'aires', 'club', 'world', 'january', 'experience', 'poor', 'beginning', 'end', 'although', 'reserved', 'seats', 'f', 'j', 'another', 'passenger', 'occupying', 'f', 'crew', 'made', 'attempt', 'address', 'problem', 'eventually', 'persuaded', 'passenger', 'move', 'occupy', 'designated', 'seat', 'd', 'boarded', 'punctually', 'offered', 'drinks', 'asked', 'drink', 'crew', 'member', 'said', 'late', 'blamed', 'seating', 'problem', 'crew', 'member', 'began', 'taking', 'orders', 'dinner', 'write', 'gave', 'minutes', 'safety', 'briefing', 'asked', 'us', 'repeat', 'orders', 'later', 'hot', 'flannels', 'smelled', 'musty', 'felt', 'old', 'ragged', 'one', 'crew', 'wondered', 'aloud', 'whether', 'companion', 'related', 'soup', 'cold', 'told', 'served', 'flasks', 'explanation', 'excuse', 'coffee', 'weak', 'tasted', 'like', 'instant', 'granules', 'companion', 'initially', 'served', 'bread', 'roll', 'dinner', 'breakfast', 'menu', 'stated', 'selection', 'rollspastries', 'choice', 'companion', 'given', 'dried', 'fruit', 'pastry', 'would', 'chosen', 'bread', 'roll', 'although', 'previously', 'asked', 'offered', 'supplied', 'seat', 'small', 'bottles', 'water', 'ran', 'return', 'journey', 'ba', 'buenos', 'aires', 'london', 'heathrow', 'world', 'traveller', 'plus', 'january', 'huge', 'contrast', 'warm', 'welcome', 'boarding', 'crew', '’', 's', 'professionalism', 'throughout', 'it', '’', 's', 'poor', 'reflection', 'club', 'world', 'service', 'experience', 'world', 'traveller', 'plus', 'much', 'better', 'kinder', 'weighed', 'advantages', 'flat', 'bed', 'considerable', 'price', 'difference', 'worth', 'paying', 'catalogue', 'errors', 'inconveniences', 'outlined']"
173,"['check', 'agent', 'lhr', 'helpful', 'friendly', 'flight', 'crew', 'seat', 'comfortable', 'good', 'leg', 'room', 'however', 'food', 'poor', 'barely', 'better', 'economy', 'class', 'poor', 'quality', 'limited', 'selection', 'wine', 'flight', 'entertainment', 'selections', 'we', '’', 're', 'limited', 'far', 'inferior', 'ba', 'used', 'offer', 'overall', 'premium', 'economy', 'product', 'disappointing', 'poor', 'value', 'money']"
174,"['disappointing', 'book', 'ba', 'fly', 'day', 'return', 'flight', 'pm', 'cancelled', 'replaced', 'flight', 'pm', 'took', 'hour', 'late', 'meaning', 'arrived', 'gatwick', 'well', 'midnight', 'onward', 'transport', 'connections', 'pay', '£', 'taxi', 'home', 'plus', 'seats', 'really', 'snug', 'i', '’', 'm', '’', '”', 'knees', 'hitting', 'seat', 'front', 'ba', 'trading', 'name', 'customer', 'service', 'reliability', 'deteriorated', 'ryanair', 'better', 'aircraft', 'takeoff', 'slots']"
175,"['excellent', 'service', 'ground', 'board', 'first', 'class', 'product', 'might', 'leading', 'edge', 'service', 'around', 'entire', 'experience', 'well', 'worth', 'cost', 'ticket', 'concorde', 'room', 'heathrow', 'well', 'managed', 'great', 'place', 'relax', 'prior', 'trip', 'flight', 'slightly', 'delayed', 'heathrow', 'arrived', 'schedule', 'johannesburg']"
176,"['good', 'lounge', 'cape', 'town', 'time', 'departure', 'drinks', 'high', 'quality', 'sound', 'dinner', 'service', 'breakfast', 'reasonable', 'arrival', 'lounge', 'good', 'showers', 'cold']"
177,"['really', 'excellent', 'journey', 'lounge', 'overcrowded', 'late', 'afternoon', 'plenty', 'edible', 'food', 'easy', 'boarding', 'new', 'club', 'world', 'suites', 'great', 'compared', 'last', 'travelled', 'year', 'ago', 'food', 'drink', 'back', 'previous', 'standards', 'choice', 'individual', 'wines', 'rather', 'bland', 'blends', 'courses', 'served', 'individually', 'cut', 'glass', 'china', 'beef', 'cheek', 'really', 'tasty', 'surprisingly', 'good', 'soup', 'crew', 'excellent', 'good', 'choice', 'movies', 'breakfast', 'good', 'nights', 'sleep', 'fruits', 'etc', 'first', 'couldnt', 'manage', 'full', 'english', 'offered', 'arrival', 'time', 'could', 'want', 'quite', 'gulf', 'standards', 'overall', 'ba', 'seems', 'eventually', 'got', 'business', 'class', 'back', 'standard']"
178,"['flight', 'one', 'worst', 'ever', 'life', 'wanted', 'pamper', 'bought', 'business', 'class', 'looking', 'forward', 'new', 'experience', 'mention', 'chaos', 'changing', 'gates', 'several', 'times', 'things', 'may', 'happen', 'surprised', 'lack', 'attention', 'passengers', 'flight', 'delayed', 'almost', 'hours', 'even', 'though', 'staff', 'offered', 'vouchers', 'idea', 'get', 'told', 'minutes', 'use', 'boarding', 'already', 'begun', 'firstly', 'see', 'anyone', 'voucher', 'secondly', 'even', 'got', 'able', 'use', 'finally', 'got', 'airport', 'another', 'waiting', 'minutes', 'cross', 'check', 'meantime', 'told', 'due', 'problems', 'load', 'food', 'flight', 'without', 'food', 'board', 'food', 'offered', 'given', 'everyone', 'plane', 'small', 'bag', 'nuts', 'business', 'class', 'passenger', 'offered', 'drinks', 'business', 'class', 'contained', 'small', 'glasses', 'juice', 'received', 'apology', 'compensation', 'company', 'disgraceful', 'cheap', 'service', 'expensive', 'price']"
179,"['verified', 'seems', 'race', 'bottom', 'amongst', 'airlines', 'can', 'not', 'even', 'check', 'ba', 'requires', 'submission', 'documents', 'covid', 'restrictions', 'however', 'form', 'start', 'submission', 'process', 'hopelessly', 'broken', 'clicking', 'submit', 'form', 'hangs', 'forever', 'error', 'message', 'given', 'tried', 'three', 'different', 'browsers', 'three', 'different', 'devices', 'hang', 'means', 'can', 'not', 'check', 'online', 'select', 'seat', 'tried', 'using', 'chat', 'bot', 'minutes', 'clicking', 'try', 'thought', 'donated', 'enough', 'time', 'ba']"
180,"['verified', 'spanish', 'born', 'individual', 'living', 'england', 'using', 'british', 'airways', 'decades', 'multiple', 'times', 'year', 'th', 'january', 'booked', 'flight', 'son', 'go', 'alicante', 'however', 'informed', 'th', 'january', 'doctors', 'unable', 'fly', 'due', 'elbow', 'operation', 'result', 'decided', 'give', 'ticket', 'daughter', 'calling', 'customer', 'service', 'team', 'british', 'airways', 'make', 'change', 'th', 'january', 'took', 'enquiry', 'call', 'seemed', 'speech', 'delay', 'call', 'presented', 'small', 'bit', 'difficulty', 'however', 'also', 'struggled', 'understand', 'support', 'staff', 'member', 'top', 'delay', 'requesting', 'change', 'name', 'one', 'tickets', 'daughters', 'name', 'told', 'within', 'policy', 'would', 'need', 'cancel', 'ticket', 'rebook', 'encouraged', 'divide', 'booking', 'son', 'two', 'different', 'booking', 'reference', 'numbers', 'accepted', 'asked', 'would', 'like', 'cancel', 'booking', 'insisted', 'would', 'need', 'know', 'total', 'refund', 'it', '’', 's', 'lucky', 'ask', 'check', 'informed', 'would', 'roughly', '£', 'total', 'cost', 'booking', '£', 'comes', '£', 'per', 'passenger', 'leaving', 'refund', 'total', 'less', 'value', 'purchase', 'despite', 'seat', 'abandoned', 'according', 'ba', 'policy', 'entitled', 'simple', 'change', 'name', 'less', 'refund', 'even', 'i', '’', 'm', 'buying', 'ticket', 'right', 'back', 'phone', 'probably', 'money', 'worth', 'week', 'ago']"
181,"['rather', 'empty', 'quiet', 'flight', 'tel', 'aviv', 'friendly', 'cabin', 'crew', 'due', 'emptiness', 'flight', 'entire', 'row', 'allowed', 'work', 'easily', 'much', 'space', 'required', 'unfortunately', 'upon', 'landing', 'breaks', 'overheated', 'wait', 'fire', 'crew', 'cool', 'delayed', 'us', 'otherwise', 'overall', 'excellent', 'flight', 'bas', 'part', 'first', 'time', 'flown', 'flight', 'actually', 'taken', 'correct', 'time']"
182,"['easy', 'check', 'staff', 'member', 'polite', 'helpful', 'made', 'specific', 'point', 'acknowledging', 'loyalty', 'ba', 'security', 'london', 'fast', 'galleries', 'north', 'fine', 'showers', 'good', 'organised', 'flight', 'boarding', 'plane', 'fine', 'good', 'crew', 'new', 'club', 'world', 'product', 'wife', 'damaged', 'storage', 'area', 'otherwise', 'ok', 'take', 'good', 'drinks', 'food', 'service', 'well', 'run', 'slept', 'well', 'time', 'arrival', 'found', 'new', 'seat', 'design', 'harder', 'sleep']"
183,"['silver', 'flyer', 'booking', 'flight', 'ba', 'dublin', 'would', 'thought', 'could', 'use', 'lounge', 'even', 'though', 'ba', 'used', 'air', 'lingus', 'flight', 'travelled', 'recently', 'situation', 'allowed', 'kind', 'gentleman', 'desk', 'even', 'though', 'said', 'gold', 'really', 'accommodating', 'wasn', '’', 't', 'big', 'deal', 'two', 'ladies', 'desk', 'like', 'empathy', 'allsaying', 'guy', 'shouldn', '’', 't', 'let', 'word', 'come', 'ba', 'booked', 'flight', 'made', 'fly', 'air', 'lingus', 'let', 'use', 'lounge', 'silver', 'flier']"
184,"['verified', 'find', 'ba', 'incredibly', 'tacky', 'constantly', 'looking', 'ways', 'get', 'money', 'customers', 'travelled', 'using', 'major', 'airlines', 'whole', 'life', 'although', 'know', 'sounds', 'silly', 'hour', 'flight', 'major', 'airline', 'expect', 'form', 'beverage', 'snack', 'curtesy', 'port', 'charge', 'phone', 'pay', 'insane', 'prices', 'luggage', 'inflight', 'entertainment', 'aircraft', 'snug', 'challenged', 'pay', 'drink', 'inflight', 'entertainment', 'told', 'short', 'haul', 'fight', 'sisters', 'met', 'cairo', 'hour', 'half', 'flight', 'flew', 'egyptair', 'somehow', 'received', 'luggage', 'allowance', 'drinks', 'food', 'inflight', 'entertainment', 'well', 'usb', 'port', 'charge', 'phones', 'ba', 'realise', 'stands', 'budget', 'airline', 'staff', 'great', 'got', 'money', 'much']"
185,"['flew', 'atl', 'lhr', 'th', 'jan', 'unlucky', 'enough', 'board', 'year', 'old', 'refit', 'gave', 'decent', 'ife', 'screen', 'seat', 'looked', 'decent', 'although', 'combine', 'ife', 'cheap', 'nasty', 'earbuds', 'movie', 'ruined', 'headrest', 'great', 'pity', 'little', 'padding', 'used', 'seat', 'wife', 'uncomfortable', 'leg', 'room', 'general', 'poor', 'especially', 'passengers', 'keep', 'seat', 'reclined', 'start', 'finish', 'zero', 'room', 'aircraft', 'tired', 'rubber', 'spacers', 'falling', 'silicone', 'sealer', 'falling', 'apart', 'toilets', 'toilet', 'seats', 'old', 'stained', 'rubber', 'arm', 'rest', 'hanging', 'post', 'take', 'drinkssnacks', 'offered', 'meal', 'sent', 'couple', 'hours', 'poor', 'chicken', 'cubes', 'reminded', 'dog', 'food', 'mashed', 'potatoes', 'purified', 'within', 'inch', 'life', 'stale', 'rock', 'hard', 'roll', 'salad', 'rice', 'carrots', 'dried', 'crackers', 'cheese', 'kids', 'meal', 'sad', 'tiny', 'leaf', 'salad', 'enough', 'dressing', 'refloat', 'shipwreck', 'coffee', 'creamer', 'given', 'kids', 'meal', 'snack', 'decent', 'adults', 'bagel', 'cheese', 'egg', 'hot', 'tasty', 'kids', 'snack', 'green', 'wrap', 'spinach', 'onions', 'poor', 'mix', 'food', 'ba', 'service', 'grunt', 'crammed', 'seat', 'hours', 'landing', 'remote', 'stand', 'enduring', 'bus', 'terminal', 'ba', 'opinion', 'terrible', 'flight', 'disappointing', 'one', 'great', 'member', 'cabin', 'crew', 'everything', 'else', 'average']"
186,"['verified', 'great', 'thing', 'british', 'airways', 'a', 'economy', 'section', 'upstairs', 'get', 'allows', 'small', 'stowage', 'cupboards', 'window', 'seats', 'despite', 'old', 'a', 'looked', 'tired', 'inside', 'broken', 'side', 'stowage', 'seat', 'reclined', 'uncontrollably', 'slow', 'react', 'ife', 'food', 'supposed', 'christmas', 'dinner', 'wafer', 'thin', 'bits', 'dry', 'turkey', 'cooked', 'sprouts', 'cubed', 'potatoes', 'poor', 'taste', 'quality', 'mousse', 'desert', 'great', 'though', 'slight', 'issue', 'snack', 'meal', 'ordered', 'childs', 'option', 'marked', 'regular', 'meal', 'arrived', 'well', 'exactly', 'asked', 'crew', 'member', 'told', 'difference', 'sticker', 'box', 'staff', 'ok', 'couple', 'decent', 'mostly', 'ok', 'overall', 'ba', 'seems', 'tad', 'cheap', 'days', 'great', 'sit', 'upstairs', 'enjoyment', 'ended', 'seemed', 'bit', 'dull', 'like', 'ba', 'average', 'airline']"
187,"['verified', 'staff', 'friendly', 'plane', 'cold', 'shivering', 'gave', 'light', 'blankets', 'enough', 'meals', 'basic', 'entertainment', 'basic', 'luggage', 'delayed', 'today', 'day', 'ba', 'staff', 'phone', 'say', 'call', 'hours', 'tracking', 'system', 'vague', 'extract', 'information', 'staff', 'arrived', 'vancouver', 'jan', 'nd', 'offered', 'collect', 'baggage', 'vague', 'answer', 'call', 'airport', 'asked', 'ba', 'phone', 'number', 'yvr', 'said', 'dont', 'phone', 'number', 'call', 'call', 'main', 'airport', 'policy', 'states', 'make', 'claim', 'days']"
188,"['probably', 'worst', 'business', 'class', 'experience', 'ive', 'ever', 'airline', 'issues', 'required', 'purchase', 'seats', 'international', 'club', 'world', 'business', 'class', 'made', 'known', 'ticket', 'purchase', 'process', 'cost', 'additional', 'single', 'leg', 'lhrlax', 'family', 'four', 'given', 'strange', 'business', 'class', 'seating', 'layout', 'ba', 'as', 'leaving', 'seat', 'selection', 'change', 'could', 'disastrous', 'family', 'ridiculously', 'long', 'boarding', 'times', 'even', 'small', 'aircraft', 'vielhr', 'leg', 'boarding', 'time', 'a', 'minutes', 'long', 'leading', 'delayed', 'departure', 'urgency', 'part', 'staff', 'speed', 'boarding', 'times', 'severe', 'overcrowding', 'boarding', 'area', 'satellite', 'c', 'terminal', 'heathrow', 'boarding', 'staff', 'would', 'allow', 'passengers', 'enter', 'roped', 'queue', 'area', 'boarding', 'idea', 'crowding', 'extreme', 'overall', 'boarding', 'area', 'far', 'small', 'a', 'believe', 'satellite', 'designed', 'built', 'first', 'as', 'delivered', 'online', 'checkin', 'advance', 'flights', 'appears', 'completely', 'broken', 'urged', 'repeatedly', 'ba', 'website', 'via', 'email', 'text', 'upload', 'covid', 'documents', 'even', 'though', 'end', 'covid', 'documents', 'required', 'travel', 'filled', 'basic', 'contact', 'information', 'website', 'upload', 'covid', 'documentation', 'informed', 'several', 'hours', 'later', 'covid', 'documents', 'verified', 'received', 'another', 'text', 'message', 'urging', 'upload', 'covid', 'documentation', 'vielhr', 'leg', 'shopbacom', 'page', 'one', 'directed', 'attempting', 'connect', 'wifi', 'plane', 'indicated', 'ridiculously', 'incorrect', 'remaining', 'flight', 'times', 'six', 'hours', 'four', 'hours', 'landing', 'ba', 'lounges', 'club', 'europe', 'club', 'world', 'heathrow', 'often', 'seriously', 'overcrowded', 'furniture', 'carpeting', 'finishes', 'clubs', 'worn', 'dirty', 'said', 'food', 'lounges', 'pretty', 'good', 'quality', 'food', 'quality', 'ba', 'lounges', 'heathrow', 'may', 'redeeming', 'thing', 'airline', 'onboard', 'food', 'beverage', 'service', 'far', 'average', 'international', 'business', 'class', 'terrible', 'one', 'might', 'say', 'lhrlax', 'leg', 'premeal', 'beverage', 'service', 'midflight', 'beverage', 'services', 'unlike', 'business', 'class', 'offerings', 'airlines', 'taking', 'meal', 'order', 'flight', 'attendants', 'beginning', 'flight', 'meals', 'brought', 'haphazardly', 'shortly', 'take', 'chicken', 'fish', 'type', 'meal', 'selection', 'similar', 'economy', 'class', 'coffee', 'tea', 'service', 'meals', 'food', 'quality', 'poor', 'prelanding', 'snack', 'ploughmans', 'lunch', 'downright', 'disgusting', 'beverage', 'bar', 'setup', 'galley', 'areas', 'beverages', 'available', 'passengers', 'flight', 'standard', 'international', 'business', 'class', 'offerings', 'even', 'bottles', 'water', 'seemed', 'hidden', 'away', 'requiring', 'one', 'ask', 'flight', 'attendants', 'water', 'wont', 'comment', 'bizarre', 'seating', 'layout', 'a', 'others', 'rightly', 'panned', 'awkwardness', 'extremely', 'poor', 'design', 'seating', 'seats', 'long', 'stated', 'ba', 'website', 'found', 'seats', 'short', 'height', 'priority', 'luggage', 'tags', 'followed', 'baggage', 'delivery']"
189,"['definitely', 'recommended', 'especially', 'business', 'class', 'seats', 'ridiculous', 'small', 'food', 'mediocre', 'good', 'luck', 'internet', 'even', 'pay', 'full', 'internet', 'entire', 'flight', 'service', 'however', 'great', 'attendant', 'saved', 'crying', 'don', '’', 't', 'know', 'designed', 'aircraft', 'expensive', 'business', 'class', 'order', 'move', 'middle', 'seat', 'go', 'bathroom', 'must', 'rudely', 'climb', 'person', '’', 's', 'legs', 'sitting', 'aisle', 'seat', 'seat', 'like', 'enclosed', 'tiny', 'cubicle', 'storage', 'space', 'i', '’', 've', 'unfortunately', 'traveled', 'british', 'airways', 'business', 'class', 'least', 'times', 'within', 'last', 'months', 'never', 'unless', 'choice', 'way', 'business', 'class', 'lounge', 'south', 'heathrow', 'cattle', 'pen']"
190,"['ba', 'shuttle', 'service', 'across', 'uk', 'still', 'surprisingly', 'good', 'product', 'compared', 'ba', 'long', 'haul', 'doesn', '’', 't', 'always', 'get', 'best', 'comments', 'times', 'it', '’', 's', 'reasonable', 'priced', 'works', 'well', 'fresh', 'crews', 'queues', 'long', 'distances', 'walk', 'don', '’', 't', 'know', 'still', 'offer', 'covid', 'style', 'bottle', 'water', 'snack', 'stretching', 'cup', 'tea', 'snack', 'would', 'great', 'add', 'service', 'currently', 'line', 'sky', 'cafe', 'it', '’', 's', 'fiddly', 'work', 'get', 'connected', 'short', 'trips']"
191,"['must', 'admit', 'like', 'many', 'others', 'tend', 'avoid', 'ba', 'long', 'haul', 'possible', 'due', 'many', 'poor', 'reviews', 'first', 'ride', 'ba', 'a', 'day', 'exception', 'say', 'aircraft', 'immaculate', 'economy', 'seat', 'really', 'comfortable', 'that', '’', 's', 'ife', 'didn', '’', 't', 'work', 'wasn', '’', 't', 'interesting', 'anyway', 'got', 'map', 'screenshot', 'lunch', 'poor', 'quality', 'plenty', 'nice', 'white', 'wine', 'alcoholic', 'drinks', 'made', 'cabin', 'crew', 'pleasant', 'poor', 'grooming', 'lets', 'skirts', 'trouser', 'suits', 'long', 'sleeves', 'short', 'jackets', 'waistcoat', 'cardigans', 'time', 'could', 'done', 'better', 'think', 'baggage', 'delivery', 'really', 'quick', 'summing', 'well', 'still', 'coming', 'back', 'ba', 'yet', 'maybe', 'old', 'charm', 'return', 'soon']"
192,"['verified', 'ba', 'update', 'business', 'class', 'cabin', 'across', 'much', 'travelling', 'facing', 'backwards', 'cabin', 'staff', 'pass', 'food', 'trays', 'across', 'front', 'passengers', 'paying', 'business', 'class', 'fares', 'pay', 'reserve', 'specific', 'seat', 'antiquated', 'idea', 'cabin', 'staff', 'fine', 'food', 'acceptable', 'checkin', 'ok', 'business', 'lounge', 'breakfast', 'acceptable', 'lack', 'space', 'seating', 'area', 'small', 'screen', 'disfunctional', 'entertainment', 'equipment', 'disappointing', 'step', 'reclining', 'passengers', 'feet', 'attractive']"
193,"['paid', '£', 'day', 'flight', 'upgrade', 'economy', 'premium', 'economy', 'checkin', 'could', 'find', 'booking', 'little', 'wait', 'rang', 'someone', 'explains', 'upgrade', 'get', 'deleted', 'system', 'checkin', 'agent', 'sees', 'took', 'minutes', 'resolve', 'seat', 'nice', 'enough', 'stowage', 'pocket', 'front', 'bit', 'small', 'food', 'reasonably', 'nice', 'shame', 'bathroom', 'way', 'back', 'economy', 'bit', 'queue', 'ife', 'system', 'good', 'selection', 'mediocre', 'worst', 'part', 'flight', 'cpt', 'remote', 'stand', 'bussed', 'passport', 'control', 'quickly', 'took', 'absolute', 'age', 'get', 'luggage', 'ruined', 'would', 'otherwise', 'reasonable', 'flight', 'upgrade', 'worth', '£', 'maybe', '£', 'long', 'flight', 'offers', '£', 'whatever', 'premium', 'economy', 'comedy', 'pricing', 'score', 'luggage', 'fiasco', 'would', 'luggage', 'fiasco', 'cant', 'rate']"
194,"['ba', 'website', 'work', 'weirdly', 'deleted', 'flight', 'upcoming', 'flights', 'day', 'departure', 'chaos', 'cape', 'town', 'airport', 'hundreds', 'queuing', 'computers', 'chaos', 'gate', 'queue', 'management', 'premium', 'passengers', 'nice', 'new', 'a', 'smart', 'new', 'club', 'suite', 'champagne', 'warm', 'cabin', 'crew', 'said', 'impossible', 'serve', 'cold', 'true', 'air', 'france', 'manage', 'disappointing', 'meal', 'wine', 'served', 'late', 'food', 'finished', 'time', 'arrives', 'cheese', 'ice', 'cold', 'tasteless', 'cant', 'champagne', 'white', 'wine', 'fridge', 'used', 'cheese', 'good', 'ife', 'system', 'mediocre', 'film', 'selection', 'disappointing', 'breakfast', 'overall', 'flew', 'air', 'france', 'business', 'month', 'way', 'better', 'sad', 'whats', 'become', 'ba']"
195,"['absolutely', 'terrible', 'experience', 'british', 'airways', 'short', 'flight', 'london', 'heathrow', 'frankfurt', 'couldnt', 'get', 'suitcase', 'time', 'next', 'flight', 'cathay', 'pacific', 'melbourne', 'despite', 'hour', 'gap', 'two', 'flights', 'told', 'would', 'arrange', 'suitcase', 'transferred', 'directly', 'melbourne', 'instead', 'got', 'hong', 'kong', 'left', 'finally', 'tracked', 'sent', 'back', 'london', 'happened', 'christmas', 'stressful', 'yet', 'minimal', 'communication', 'team', 'plane', 'crew', 'may', 'lovely', 'service', 'outside', 'nothing', 'short', 'dreadful', 'given', 'option', 'avoid', 'flying', 'future']"
196,"['vancouver', 'delhi', 'via', 'london', 'booked', 'fly', 'vancouver', 'new', 'delhi', 'via', 'london', 'heathrow', 'dec', 'nd', 'received', 'email', 'dec', 'th', 'informing', 'us', 'industrial', 'action', 'uk', 'called', 'find', 'may', 'impact', 'travel', 'representative', 'kind', 'scared', 'us', 'possibly', 'stranded', 'travel', 'offered', 'us', 'full', 'refund', 'called', 'confirm', 'options', 'offer', 'solutions', 'asked', 'cancel', 'tickets', 'told', 'us', 'cancellation', 'fee', 'booked', 'new', 'tickets', 'another', 'airline', 'double', 'cost', 'trip', 'urgent', 'simultaneously', 'told', 'us', 'longer', 'cancel', 'tickets', 'system', 'promised', 'us', 'make', 'happen', 'told', 'us', 'would', 'get', 'full', 'refund', 'processed', 'cancellation', 'hours', 'later', 'emailed', 'us', 'tickets', 'couldn', '’', 't', 'cancelled', 'suggested', 'cancel', 'new', 'tickets', 'found', 'another', 'airline', 'lost', 'cancelling', 'new', 'tickets', 'representative', 'claimed', 'never', 'said', 'won', '’', 't', 'services', 'available', 'asked', 'us', 'worrying', 'industrial', 'action', '“', 'arrangements', '”', 'made', 'issues', 'new', 'information', 'never', 'given', 'us', 'kept', 'british', 'airway', 'tickets', 'next', 'day', 'asked', 'speak', 'manager', 'report', 'misguided', 'whole', 'situation', 'never', 'heard', 'back', 'manager', 'logged', 'checkin', 'hours', 'take', 'found', 'van', '—', 'lhr', 'flight', 'cancelled', 'due', 'bad', 'weather', 'vancouver', 'receive', 'emails', 'airport', 'airline', 'change', 'called', 'ba', 'asked', 'rearrangements', 'flight', 'offered', 'rebooking', 'additional', 'per', 'person', 'price', 'difference', 'dates', 'offered', 'days', 'original', 'flight', 'supposed', 'leave', 'additionally', 'cancel', 'rest', 'flights', 'could', 'reach', 'since', 'first', 'flight', 'cancelled', 'pay', 'cancellation', 'fee', 'get', 'refund', 'frustrated', 'overall', 'experience', 'accommodations', 'accountability', 'wanted', 'charge', 'us', 'service', 'changes', 'possible', 'phone', 'hours', 'flights', 'could', 'booked', 'getting', 'sold', 'customer', 'service', 'person', 'would', 'take', 'minutes', 'real', 'search', 'question', 'option', 'asked', 'frustrating', 'experience', 'lost', 'time', 'money', 'ruined', 'holidays', 'completely', 'demanded', 'speak', 'manager', 'want', 'take', 'accountability', 'team', 'gave', 'us', 'small', 'discount', 'cancellation', 'fee', 'total', 'phone', 'days', 'back', 'forth', 'without', 'resolutions', 'felt', 'misguided', 'misinformed', 'unfair', 'policies', 'towards', 'customers', 'feel', 'taken', 'care', 'pay', 'price', 'misinformation', 'flights', 'cancel', 'trouble', 'spent', 'christmas', 'without', 'family', 'missed', 'urgent', 'reasons', 'travelling']"
197,"['old', 'a', 'narrow', 'pitch', 'flight', 'perfectly', 'time', 'constant', 'announcements', 'cockpit', 'friendly', 'staff', 'free', 'chips', 'water', 'quick', 'luggage', 'delivery', 't']"
198,"['another', 'ba', 'shambles', 'started', 'well', 'excellent', 'check', 'first', 't', 'mid', 'afternoon', 'avoided', 'early', 'morning', 'evening', 'scrum', 'concorde', 'lounge', 'excellent', 'service', 'great', 'choice', 'cocktails', 'wine', 'etc', 'food', 'ok', 'bit', 'overcooked', 'pretty', 'reasonable', 'called', 'boarding', 'gate', 'chaos', 'people', 'jostling', 'position', 'get', 'plane', 'people', 'children', 'called', 'people', 'first', 'bankrolling', 'flight', 'well', 'get', 'told', 'none', 'lights', 'first', 'dimmed', 'lights', 'night', 'like', 'detained', 'interrogated', 'excellent', 'wine', 'champagne', 'selection', 'dinner', 'menu', 'handed', 'i', '’', 'll', 'prawn', 'cocktail', 'start', 'please', 'won', '’', 't', 'they', '’', 've', 'loaded', 'one', 'people', 'guy', 'a', 'got', 'bet', 'felt', 'like', 'he', '’', 'd', 'lottery', 'ok', 'i', '’', 'll', 'beef', 'wellington', 'basically', 'freezing', 'slice', 'beef', 'lettuce', 'mains', 'i', '’', 'll', 'curry', 'won', '’', 't', 'they', '’', 've', 'substituted', 'christmas', 'dinner', 'i', '’', 'm', 'going', 'maldives', 'get', 'away', 'christmas', 'ended', 'short', 'ribs', 'inedible', 'salad', 'starter', 'water', 'offered', 'bread', 'roll', 'couldn', '’', 't', 'eat', 'basically', 'husband', 'spent', '£', 'return', 'seats', 'blinded', 'lights', 'left', 'starving', 'apologies', 'watch', 'ba', 'virgin', 'start', 'flying', 'direct', 'october', 'always', 'rest', 'laurels', 'treat', 'customers', 'like', 'idiots']"
199,"['verified', 'ba', 'cancelled', 'flight', 'home', 'heathrow', 'dec', 'th', 'face', 'sensible', 'weather', 'iceland', 'appalling', 'however', 'acceptable', 'flight', 'cancelled', 'hours', 'take', 'time', 'time', 'already', 'struggling', 'dreadful', 'driving', 'conditions', 'get', 'airport', 'got', 'nowhere', 'near', 'conditions', 'became', 'bad', 'taken', 'advice', 'would', 'spared', 'everyone', 'need', 'try', 'travel', 'roads', 'ended', 'closed', 'booked', 'onto', 'flight', 'st', 'downgraded', 'sins', 'checked', 'today', 'type', 'cancelled', 'flight', 'th', 'despite', 'road', 'keflavík', 'closed', 'check', 'things', 'help', 'ba', 'offered', 'really']"
200,"['verified', 'ba', 'cancelled', 'flight', 'home', 'last', 'flight', 'day', 'heathrow', 'tried', 'push', 'onto', 'another', 'flight', 'london', 'city', 'hours', 'later', 'car', 'heathrow', 'didnt', 'want', 'try', 'cross', 'london', 'late', 'night', 'public', 'transport', 'luggage', 'especially', 'rail', 'strikes', 'announced', 'around', 'time', 'book', 'flight', 'home', 'lufthansa', 'cost', '€', 'economy', 'seat', 'least', 'got', 'home', 'heathrow', 'another', 'terminal', 'friday', 'night', 'could', 'get', 'home', 'family', 'still', 'news', 'refund', '€', 'months', 'shame', 'flying', 'ba', 'used', 'pleasurable', 'experience', 'ba', 'cancelled', 'moved', 'one', 'leg', 'every', 'journey', 'weve', 'booked', 'year', 'regrettably', 'use', 'airlines', 'much', 'better', 'reliability', 'customer', 'service']"
